carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
Z7,active,Amaszonas Uruguay,amaszonas-uruguay-airlines,Amaszonas Uruguay,amaszonas-uruguay-airlines
ZC,inactive,Flyafrica   Zimbabwe,,Korongo Airlines,korongo-airlines
ZD,active,Ewa Air,ewa-air-airlines,Ewa Air,ewa-air-airlines
ZF,active,Azur Air,azur-air-airlines,Azur Air,azur-air-airlines
ZJ,active,Air Routing International L.P.,air-routing-international-lp-airlines,Air Routing International L.P.,air-routing-international-lp-airlines
ZK,active,Great Lakes Airlines,great-lakes-airlines,Great Lakes Airlines,great-lakes-airlines
ZL,active,Regional Express,regional-express-airlines,Regional Express,regional-express-airlines
ZM,inactive,Air Manas,,Manas Air,manas-air-airlines
ZN,active,Naysa,naysa-airlines,Naysa,naysa-airlines
ZO,active,Zexus Air Service Pvt. Ltd.,zexus-air-service-pvt-ltd-airlines,Zexus Air Service Pvt. Ltd.,zexus-air-service-pvt-ltd-airlines
ZP,active,Amaszonas Linea Aerea,amaszonas-linea-aerea-airlines,Amaszonas Linea Aerea,amaszonas-linea-aerea-airlines
ZQ,active,Azman Air Services,azman-air-services-airlines,Azman Air Services,azman-air-services-airlines
ZR,active,Aviacon Zitotrans Air Company,aviacon-zitotrans-air-company-airlines,Aviacon Zitotrans Air Company,aviacon-zitotrans-air-company-airlines
ZT,active,Titan Airways,titan-airways-airlines,Titan Airways,titan-airways-airlines
ZU,active,Sunair Aviation,sunair-aviation-airlines,Sunair Aviation,sunair-aviation-airlines
ZV,inactive,V Air Corporation,,Air Midwest,air-midwest-airlines
ZW,active,Air Wisconsin,air-wisconsin-airlines,Air Wisconsin,air-wisconsin-airlines
ZX,active,Air Georgian Ltd Dba Air Alliance,air-georgian-ltd-dba-air-alliance-airlines,Air Georgian Ltd Dba Air Alliance,air-georgian-ltd-dba-air-alliance-airlines
ZY,active,China Air Cargo,china-air-cargo-airlines,China Air Cargo,china-air-cargo-airlines
